city;year;people;air_general_level;net_salary;Avg_Age;ILM;birth;crimes;criminals;death;pens;preschool_child;length_of_roads;energy_consumption;Migration_Net;Housing_Stock;wage;workers;poverty level;housing price
Волосово;2017;12165.0;-9;0;41.7;0;0.0;0;0;0.0;0.0;0.0;224.1;198.6;;24.9;0.0;0.0;;48347.78
Волхов;2017;44800.0;-9;0;41.7;0;0.0;0;0;0.0;0.0;0.0;197.6;188.0;;24.9;0.0;0.0;;
Воркута;2017;0.0;1;0;38.22;0;0.0;0;0;0.0;0.0;0.0;163.4;201.0;;28.2;0.0;0.0;;41985.61
Воронеж;2017;1039801.0;3;30274;41.92;8960;11.1;16288;4199;12.4;309.6;52237.0;449.7;162.2;9100.0;27.9;35202.3;260.7;;71741.62
Воскресенск;2017;0.0;1;0;40.06;0;0.0;0;0;0.0;0.0;0.0;281.5;201.4;;30.3;0.0;0.0;;48347.78
Выборг;2017;0.0;1;0;41.7;0;0.0;0;0;0.0;0.0;0.0;396.4;201.9;;24.9;0.0;0.0;;60873.57
Губаха;2017;22178.0;2;0;38.81;0;0.0;0;0;0.0;0.0;0.0;157.2;207.0;;23.9;0.0;0.0;;45634.57
Губкин;2017;0.0;1;0;41.13;0;0.0;0;0;0.0;0.0;0.0;397.3;202.8;;28.2;0.0;0.0;;
Гусиноозерск;2017;23056.0;3;0;35.5;0;0.0;0;0;0.0;0.0;0.0;577.3;173.8;;21.3;0.0;0.0;;49467.63
Дальнегорск;2017;35349.0;1;0;39.46;0;0.0;0;0;0.0;0.0;0.0;182.3;213.2;;22.8;0.0;0.0;;54074.26
Дзержинск;2017;0.0;1;29231;41.16;0;9.5;3104;1156;14.8;84.7;13.4;288.0;210.3;21.0;25.1;33989.4;44.7;;54074.26
Дзержинск (Восточная Промзона);2017;0.0;1;29231;41.16;0;0.0;0;0;0.0;0.0;0.0;553.3;183.0;;25.1;0.0;0.0;;71741.62
Дзержинский;2017;0.0;1;0;40.06;0;0.0;0;0;0.0;0.0;0.0;455.9;162.5;;30.3;0.0;0.0;;37439.77
Димитровград;2017;0.0;1;24589;41.64;0;11.3;0;0;14.8;51.6;7.0;160.5;209.3;-402.0;26.3;28591.3;29.6;;56785.14
Досанг;2017;815.0;-9;0;38.52;0;0.0;0;0;0.0;0.0;0.0;319.0;169.1;;21.5;0.0;0.0;;
Екатеринбург;2017;1455514.0;2;40648;39.5;10653;13.4;0;0;10.7;396.0;82.9;519.7;235.0;9276.0;24.7;47265.6;432.9;;39933.9
Елизово;2017;38653.0;1;0;37.87;0;0.0;0;0;0.0;0.0;0.0;362.6;174.2;;26.3;0.0;0.0;;
Жигулевск;2017;53439.0;1;0;40.73;0;0.0;0;0;0.0;0.0;0.0;283.4;199.1;;25.6;0.0;0.0;;39840.67
Заполярный;2017;14964.0;1;0;38.49;0;0.0;0;0;0.0;0.0;0.0;507.3;208.1;;26.7;0.0;0.0;;52976.61
Зея;2017;24100.0;1;0;37.9;0;0.0;0;0;0.0;0.0;0.0;342.8;162.4;;25.9;0.0;0.0;;46833.41
Зима;2017;31430.0;4;0;37.42;0;0.0;0;0;0.0;0.0;0.0;357.1;177.0;;25.5;0.0;0.0;;33685.3
Златоуст;2017;0.0;3;22969;39.4;0;9.2;2677;1243;12.8;63.2;10.5;218.3;200.3;-512.0;25.4;26708.2;29.0;;
Иваново;2017;409277.0;2;25367;41.75;10378;9.8;7498;1860;14.3;123.0;22.6;222.7;203.9;991.0;26.2;29496.4;81.9;;45835.91
Ижевск;2017;646277.0;2;30110;38.68;9075;12.4;11708;4327;10.6;187.1;45.9;452.6;195.7;749.0;21.8;35011.6;182.0;;46833.41
Иркутск;2017;623736.0;4;40403;37.42;10506;14.6;13475;5400;10.8;172.6;41600.0;499.3;220.0;-2217.0;25.5;46980.0;184.7;;48424.75
Искитим;2017;57476.0;3;0;39.33;0;0.0;0;0;0.0;0.0;0.0;311.1;190.3;;24.9;0.0;0.0;;53372.12
Казань;2017;1231878.0;2;35278;39.11;8848;15.2;20104;6854;10.2;343.5;71.4;503.9;203.6;5502.0;24.2;41020.8;338.4;;49526.51
Калининград;2017;467289.0;1;33270;39.8;10922;11.5;9777;1953;12.4;134.3;26.7;597.0;207.9;8167.0;28.6;38686.0;117.0;;42537.79
Калуга;2017;347031.0;1;34102;41.44;10387;12.4;5788;2078;13.8;117.1;18.9;350.2;177.2;-575.0;25.2;39653.2;114.1;;56785.14
Каменск-Уральский;2017;0.0;2;29847;39.5;10770;10.9;0;0;14.7;0.0;10.3;313.0;210.5;-288.0;24.7;34706.2;52.1;;
Кандалакша;2017;32994.0;1;0;38.49;0;0.0;0;0;0.0;0.0;0.0;272.7;166.7;;26.7;0.0;0.0;;48314.97
Канск;2017;0.0;2;0;38.18;0;0.0;0;0;0.0;0.0;0.0;348.4;195.1;;24.1;0.0;0.0;;39337.24
Кемерово;2017;556920.0;3;33813;39.28;9531;10.7;13538;5079;12.0;155.6;30.7;474.8;183.4;2798.0;24.2;39317.8;136.0;;54183.07
Керчь;2017;148932.0;1;24728;40.91;0;8.2;1444;725;14.5;45.4;4.7;521.7;177.9;1957.0;15.9;28753.9;22.7;;48347.78
Кингисепп;2017;46749.0;1;0;41.7;0;0.0;0;0;0.0;0.0;0.0;208.7;197.8;;24.9;0.0;0.0;;48347.78
Кириши;2017;53147.0;1;0;41.7;0;0.0;0;0;0.0;0.0;0.0;216.0;166.1;;24.9;0.0;0.0;;38700.27
Киров;2017;501468.0;1;28139;41.35;9943;11.8;9597;3734;11.2;156.1;30.8;439.7;180.7;5393.0;25.8;32720.3;136.3;;38700.27
Кирово-Чепецк;2017;76650.0;1;0;41.35;0;0.0;0;0;0.0;0.0;0.0;203.4;173.0;;25.8;0.0;0.0;;
Кировск;2017;26128.0;-9;0;38.49;0;0.0;0;0;0.0;0.0;0.0;481.9;187.1;;26.7;0.0;0.0;;33123.2
Кисловодск;2017;0.0;1;24887;39.0;0;11.1;1274;522;9.6;32.9;3.9;429.8;208.7;-463.0;25.2;28937.8;16.3;;71741.62
Клин;2017;79934.0;1;0;40.06;0;0.0;0;0;0.0;0.0;0.0;314.3;168.2;;30.3;0.0;0.0;;
Кола;2017;9750.0;-9;0;38.49;0;0.0;0;0;0.0;0.0;0.0;365.8;187.9;;26.7;0.0;0.0;;71741.62
Коломна;2017;0.0;1;38527;40.06;0;11.1;0;0;15.4;60.3;7.1;559.9;176.7;-810.0;30.3;0.0;0.0;;56571.62
Комсомольск-На-Амуре;2017;0.0;3;38721;38.27;0;0.0;0;0;0.0;0.0;0.0;173.7;191.9;-865.0;23.6;45024.0;62.1;;37439.77
Комсомольский;2017;2510.0;-9;0;38.52;0;0.0;0;0;0.0;0.0;0.0;201.6;159.7;;21.5;0.0;0.0;;47958.73
Кондопога;2017;30460.0;-9;0;40.48;0;0.0;0;0;0.0;0.0;0.0;448.5;168.0;;28.8;0.0;0.0;;67799.28
Корсаков;2017;33095.0;2;0;38.59;0;0.0;0;0;0.0;0.0;0.0;335.9;166.6;;25.6;0.0;0.0;;
Коряжма;2017;36685.0;1;0;40.15;0;0.0;0;0;0.0;0.0;0.0;548.4;212.0;;25.9;0.0;0.0;;
Кострома;2017;0.0;1;26114;40.93;10270;12.4;4328;1686;13.0;81.9;17.8;517.3;212.7;-199.0;27.2;0.0;0.0;;42320.95
Краснодар;2017;881476.0;2;36145;39.97;10685;16.0;15940;5452;10.8;265.5;62.6;526.8;231.4;13046.0;26.3;42028.7;291.2;;39531.56
Краснокаменск;2017;52505.0;1;0;35.9;0;0.0;0;0;0.0;0.0;0.0;430.1;181.8;;22.1;0.0;0.0;;54183.07
Красноперекопск;2017;26030.0;2;0;40.91;0;0.0;0;0;0.0;0.0;0.0;584.0;162.7;;15.9;0.0;0.0;;56785.14
Краснотурьинск;2017;59130.0;2;0;39.5;0;0.0;0;0;0.0;0.0;0.0;242.6;213.6;;24.7;0.0;0.0;;48314.97
Красноярск;2017;1082933.0;4;38170;38.18;11787;12.8;21440;7738;10.1;272.5;53.8;501.7;236.9;4877.0;24.1;44384.3;276.3;;54074.26
Кстово;2017;0.0;1;0;;0;0.0;0;0;0.0;0.0;0.0;426.3;185.9;;;0.0;0.0;;38160.53
Кувандык;2017;24456.0;2;0;39.09;0;0.0;0;0;0.0;0.0;0.0;276.0;187.6;;26.8;0.0;0.0;;46833.41
Култук;2017;3830.0;-9;0;37.42;0;0.0;0;0;0.0;0.0;0.0;183.2;173.7;;21.0;0.0;0.0;;
Курган;2017;0.0;3;26833;40.9;10069;12.0;8096;3158;13.4;109.6;19.8;558.5;210.0;-3537.0;25.0;31201.4;93.7;;36431.76
Курск;2017;449063.0;3;25582;41.57;9254;10.4;4521;2154;12.3;157.8;21.4;291.8;161.7;492.0;27.3;29746.8;116.6;;
Кызыл;2017;0.0;4;35589;29.49;9991;18.1;6500;1654;6.8;26.3;8.3;482.0;184.3;-346.0;15.0;41383.0;33.2;;48314.97
Лесосибирск;2017;59875.0;4;0;38.18;0;0.0;0;0;0.0;0.0;0.0;590.8;202.1;;24.1;0.0;0.0;;
Липецк;2017;510439.0;2;31127;41.57;9050;10.9;5576;2720;12.6;167.4;28.3;445.6;199.6;168.0;28.1;36194.5;134.4;;46833.41
Листвянка;2017;2135.0;1;0;37.42;0;0.0;0;0;0.0;0.0;0.0;575.7;183.1;;25.5;0.0;0.0;;48347.78
Луга;2017;35900.0;1;0;41.7;0;0.0;0;0;0.0;0.0;0.0;288.7;177.2;;24.9;0.0;0.0;;
Магадан;2017;0.0;1;68404;38.26;18983;11.7;2110;1210;10.5;28.6;6.1;167.6;360.9;-45.0;29.1;79539.3;32.1;;33685.3
Магнитогорск;2017;418562.0;4;35057;39.4;0;11.6;8610;3499;13.2;134.2;30.4;563.5;165.7;-1083.0;25.4;40764.0;117.5;;
Махачкала;2017;592976.0;3;24605;32.29;9562;12.0;3976;2231;3.2;120.5;19.6;504.1;164.9;-1829.0;17.6;28610.2;102.4;;46833.41
Мегет;2017;8820.0;-9;0;37.42;0;0.0;0;0;0.0;0.0;0.0;354.6;175.5;;21.0;0.0;0.0;;38160.53
Медногорск;2017;25350.0;2;0;39.09;0;0.0;0;0;0.0;0.0;0.0;287.1;207.3;;26.8;0.0;0.0;;42730.05
Миллерово;2017;0.0;1;0;;0;0.0;0;0;0.0;0.0;0.0;357.4;202.2;;;0.0;0.0;;33123.2
Минеральные Воды;2017;75500.0;-9;0;39.0;0;0.0;0;0;0.0;0.0;0.0;453.1;197.3;;25.2;0.0;0.0;;48314.97
Минусинск;2017;70800.0;4;0;38.18;0;0.0;0;0;0.0;0.0;0.0;556.2;209.4;;24.1;0.0;0.0;;
Мирный;2017;34836.0;1;0;40.15;0;0.0;0;0;0.0;0.0;0.0;387.8;180.0;;25.9;0.0;0.0;;
Мончегорск;2017;42200.0;1;0;38.49;0;0.0;0;0;0.0;0.0;0.0;370.1;213.7;;26.7;0.0;0.0;;113021.78
Москва;2017;12380664.0;1;77502;41.89;17642;0.0;0;0;0.0;0.0;0.0;629.3;475.9;111020.0;19.1;0.0;0.0;;
Мурманск;2017;305236.0;1;52685;38.49;14632;10.4;5601;2531;11.7;103.7;17.9;559.7;268.6;-2322.0;26.7;61261.6;90.2;;71741.62
Мытищи;2017;0.0;1;44431;40.06;0;13.8;0;0;11.2;59.3;13.2;347.2;208.9;5660.0;30.3;51664.3;64.8;;53372.12
Набережные Челны;2017;529797.0;1;29104;39.11;0;13.2;5877;2939;8.4;148.2;33.2;428.2;213.8;106.0;24.2;33841.5;129.9;;47958.73
Надвоицы;2017;7550.0;1;0;40.48;0;0.0;0;0;0.0;0.0;0.0;453.6;211.7;;28.8;0.0;0.0;;48314.97
Назарово;2017;49800.0;3;0;38.18;0;0.0;0;0;0.0;0.0;0.0;230.7;162.0;;24.1;0.0;0.0;;37439.77
Нариманов;2017;11250.0;1;0;38.52;0;0.0;0;0;0.0;0.0;0.0;277.3;173.9;;25.6;0.0;0.0;;49467.63
Находка;2017;0.0;-9;40081;39.46;0;11.5;2748;935;14.0;45.5;8.4;409.7;171.8;-1746.0;22.8;46605.8;32.1;;33123.2
Невинномысск;2017;0.0;1;29926;39.0;0;10.7;1512;623;13.3;36.8;6.9;215.3;206.3;72.0;25.2;34797.4;24.0;;66713.12
Нерюнгри;2017;57500.0;1;0;34.11;0;0.0;0;0;0.0;0.0;0.0;237.0;196.5;;21.5;0.0;0.0;;51615.35
Нефтеюганск;2017;127250.0;1;65745;34.65;0;12.5;1331;680;5.9;41.0;7.1;281.5;179.9;8.0;20.7;76447.6;41.4;;51615.35
Нижневартовск;2017;274575.0;1;54856;34.65;0;13.9;4602;2004;6.2;83.3;18.9;367.2;166.1;-1256.0;20.7;63786.2;79.7;;53372.12
Нижнекамск;2017;0.0;2;35297;39.11;0;12.3;2826;1220;8.3;79.1;16.8;346.7;165.8;-254.0;24.2;41042.8;77.7;;54074.26
Нижний Новгород;2017;1261666.0;1;36524;41.16;9630;11.6;18848;5440;13.4;397.8;73.2;543.4;197.8;-421.0;25.1;42469.5;413.6;;56785.14
Нижний Тагил;2017;354090.0;3;29950;39.5;0;10.8;0;0;14.0;0.0;21.5;535.6;206.7;-639.0;24.7;34825.7;112.0;;
Никель;2017;11300.0;2;0;38.49;0;0.0;0;0;0.0;0.0;0.0;560.1;169.0;;26.7;0.0;0.0;;56571.62
Николаевск-На-Амуре;2017;20200.0;1;0;38.27;0;0.0;0;0;0.0;0.0;0.0;431.9;205.1;;23.6;0.0;0.0;;33123.2
Новоалександровск;2017;12600.0;1;0;39.0;0;0.0;0;0;0.0;0.0;0.0;411.9;171.5;;25.2;0.0;0.0;;
Новодвинск;2017;38900.0;1;0;40.15;0;0.0;0;0;0.0;0.0;0.0;571.0;207.1;;25.9;0.0;0.0;;39337.24
Новокузнецк;2017;552445.0;4;31723;39.28;0;10.0;10835;4923;13.6;170.2;31.9;404.3;231.4;3162.0;24.2;36887.1;130.7;;39933.9
Новокуйбышевск;2017;105800.0;1;32171;40.73;0;10.4;1381;525;15.7;35.7;6.0;163.5;189.6;-315.0;25.6;37408.2;30.2;;
Новомосковск;2017;128500.0;1;30221;42.96;0;9.4;1095;578;16.4;64.2;6.4;552.1;210.6;-19.0;25.9;35141.2;33.2;;42320.95
Новороссийск;2017;0.0;1;35787;39.97;0;11.0;3375;1566;10.7;78.9;15.1;579.3;185.4;2464.0;26.3;41613.1;71.3;;48424.75
Новосибирск;2017;1602915.0;2;36020;39.33;11233;12.5;26959;8070;11.5;440.8;86.2;457.7;235.3;8447.0;24.9;41884.3;402.4;;38160.53
Новотроицк;2017;94300.0;2;0;39.09;0;0.0;0;0;0.0;0.0;0.0;358.4;162.4;;26.8;0.0;0.0;;39288.38
Новоульяновск;2017;13700.0;2;0;41.64;0;0.0;0;0;0.0;0.0;0.0;419.6;192.1;;26.3;0.0;0.0;;42730.05
Новочебоксарск;2017;0.0;1;22120;39.33;0;11.4;1291;593;9.9;37.9;10.0;177.1;192.8;368.0;24.1;25720.8;21.3;;48314.97
Новочеркасск;2017;0.0;3;25385;40.76;0;10.1;2399;1004;14.1;51.4;7.7;575.0;164.6;-71.0;24.9;29517.9;36.0;;
Норильск;2017;0.0;4;75955;38.18;0;13.8;2091;1234;5.9;41.6;12.3;311.3;196.8;113.0;24.1;88319.5;82.3;;40034.98
Оленегорск;2017;22100.0;1;0;38.49;0;0.0;0;0;0.0;0.0;0.0;308.9;213.8;;26.7;0.0;0.0;;
Омск;2017;1178391.0;1;30618;39.08;9222;11.2;17934;7467;11.9;338.9;65.6;533.8;220.9;-5492.0;24.4;35602.0;289.2;;38160.53
Орел;2017;0.0;1;25442;41.8;9694;0.0;0;0;0.0;0.0;0.0;513.2;164.0;-1642.0;28.3;29583.6;87.7;;38160.53
Оренбург;2017;564443.0;1;31404;39.09;9007;11.9;8876;3799;10.8;161.5;35.2;493.4;164.3;-280.0;26.8;36516.2;165.6;;39933.9
Орск;2017;0.0;1;23113;39.09;0;10.1;4207;1889;14.3;74.8;15.1;452.7;199.8;-178.0;26.8;26875.9;45.4;;67799.28
Отрадный;2017;47100.0;1;0;40.73;0;0.0;0;0;0.0;0.0;0.0;425.2;193.0;;25.6;0.0;0.0;;
Оха;2017;21200.0;-9;0;38.59;0;0.0;0;0;0.0;0.0;0.0;237.2;198.1;;25.6;0.0;0.0;;36338.27
Певек;2017;4400.0;-9;0;34.85;0;0.0;0;0;0.0;0.0;0.0;583.1;203.5;;26.7;0.0;0.0;;56785.14
Пенза;2017;523726.0;1;26772;42.14;9182;9.6;5131;2744;12.1;161.6;20.5;497.7;178.0;1169.0;28.1;31129.7;131.9;;46452.81
Первоуральск;2017;0.0;2;29449;39.5;0;12.3;0;0;15.8;50.4;9.5;533.6;166.5;-331.0;24.7;34242.9;34.9;;60873.57
Переславль-Залесский;2017;0.0;1;0;41.47;0;0.0;0;0;0.0;0.0;0.0;347.9;163.7;;25.2;0.0;0.0;;39531.56
Пермь;2017;1048005.0;2;35540;38.81;10278;12.5;0;0;11.6;296.9;66.5;478.9;210.0;2613.0;23.9;41325.9;276.9;;47958.73
Петровск-Забайкальский;2017;17300.0;4;0;35.9;0;0.0;0;0;0.0;0.0;0.0;315.0;190.9;;22.1;0.0;0.0;;
Петрозаводск;2017;0.0;1;35462;40.48;13389;11.1;5135;1832;11.6;92.1;16.5;596.5;225.4;765.0;28.8;41234.4;66.4;;71741.62
Петропавловск-Камчатский;2017;0.0;1;65812;37.87;20394;11.9;3515;0;10.7;52.5;10.0;176.2;406.0;;26.3;76525.4;53.7;;67799.28
Подольск;2017;0.0;1;46050;40.06;0;13.8;0;0;12.7;88.4;17.9;498.6;193.8;2851.0;30.3;53547.0;72.1;;39933.9
Поронайск;2017;15300.0;1;0;38.59;0;0.0;0;0;0.0;0.0;0.0;504.6;209.9;;25.6;0.0;0.0;;
Похвистнево;2017;28000.0;1;0;40.73;0;0.0;0;0;0.0;0.0;0.0;313.0;170.0;;25.6;0.0;0.0;;71741.62
Приволжск;2017;15700.0;1;0;41.75;0;0.0;0;0;0.0;0.0;0.0;207.6;170.7;;26.2;0.0;0.0;;39337.24
Приокско-Террасный Биосферный Заповедник;2017;0.0;-9;0;40.06;0;0.0;0;0;0.0;0.0;0.0;596.0;161.7;;26.2;0.0;0.0;;36549.23
Прокопьевск;2017;0.0;3;25334;39.28;0;10.0;3740;1744;15.9;70.1;9.3;309.2;207.8;-1162.0;24.2;29457.9;32.6;;33123.2
Псков;2017;0.0;1;26264;41.97;11234;11.2;2240;911;13.3;60.9;11.6;271.2;185.0;1097.0;28.3;30539.1;56.1;;51615.35
Пятигорск;2017;0.0;1;27387;39.0;0;10.1;2986;946;10.0;52.5;9.6;551.4;180.4;-87.0;25.2;31845.6;38.8;;42730.05
Радужный;2017;43300.0;1;0;34.65;0;0.0;0;0;0.0;0.0;0.0;485.8;189.0;;20.7;0.0;0.0;;46452.81
Ростов-На-Дону;2017;1125299.0;3;34922;40.76;10232;0.0;0;0;0.0;0.0;0.0;515.0;234.1;4975.0;24.9;40607.3;281.0;;37102.51
Рыбинск;2017;0.0;1;26869;41.47;0;10.1;2796;1376;17.5;77.4;10.8;406.8;182.7;-344.0;25.2;31242.8;54.7;;49068.27
Рязань;2017;537622.0;3;30981;42.49;9614;10.2;4280;1873;13.1;169.3;26.0;406.3;208.5;2896.0;27.4;36024.7;155.2;;65315.5
Салават;2017;0.0;1;33189;38.57;0;9.7;1932;775;12.0;44.7;9.0;215.9;203.6;-484.0;23.3;38592.3;41.3;;39933.9
Салехард;2017;0.0;1;82127;33.33;16603;14.5;973;408;5.3;11.6;4.4;319.0;343.6;255.0;22.1;95496.0;24.0;;98205.96
Самара;2017;1169719.0;1;33879;40.73;10691;11.7;18457;6168;13.8;362.9;51.6;468.9;211.1;-3925.0;25.6;39394.5;352.2;;38720.02
Санкт-Петербург;2017;5281579.0;2;77609;41.24;11659;0.0;0;0;0.0;0.0;0.0;601.0;262.7;64546.0;24.2;0.0;0.0;;34244.39
Саранск;2017;0.0;2;24261;41.61;8659;9.9;3659;2089;10.4;104.4;17.9;306.7;139.2;4179.0;25.7;28210.8;93.4;;30899.74
Саратов;2017;845300.0;2;28133;41.11;9153;10.3;11286;3517;13.3;259.6;37.5;501.9;169.1;2145.0;27.4;32713.3;228.3;;46833.41
Саяногорск;2017;0.0;1;0;37.69;0;0.0;0;0;0.0;0.0;0.0;571.2;171.4;;24.5;0.0;0.0;;38547.71
Саянск;2017;0.0;2;0;37.42;0;0.0;0;0;0.0;0.0;0.0;158.3;192.4;;25.5;0.0;0.0;;48347.78
Светлый Яр;2017;12200.0;-9;0;40.87;0;0.0;0;0;0.0;0.0;0.0;334.3;202.4;;24.1;0.0;0.0;;46833.41
Светогорск;2017;15300.0;-9;0;41.7;0;0.0;0;0;0.0;0.0;0.0;288.1;185.3;;24.9;0.0;0.0;;65993.19
Свирск;2017;13400.0;4;0;37.42;0;0.0;0;0;0.0;0.0;0.0;168.5;160.1;;25.5;0.0;0.0;;
Севастополь;2017;0.0;1;48034;40.72;10711;0.0;0;0;0.0;0.0;0.0;389.2;215.4;8733.0;23.2;0.0;0.0;;37439.77
Северодвинск;2017;0.0;1;47024;40.15;0;10.8;2808;1179;11.4;70.9;12.1;150.9;195.5;-657.0;25.9;54679.6;69.8;;
Сеитовка;2017;1110.0;-9;0;38.52;0;0.0;0;0;0.0;0.0;0.0;304.7;205.0;;21.5;0.0;0.0;;71741.62
Селенгинск;2017;14300.0;4;0;35.5;0;0.0;0;0;0.0;0.0;0.0;418.6;190.1;;21.3;0.0;0.0;;54183.07
Серпухов;2017;0.0;2;37503;40.06;0;12.8;0;0;15.7;0.0;6.9;385.9;205.4;244.0;30.3;43608.4;21.0;;48347.78
Симферополь;2017;0.0;1;28621;40.91;10210;12.3;4884;167;14.3;106.4;14.2;580.7;180.1;1325.0;15.9;33279.7;108.7;;46833.41
Сланцы;2017;32500.0;-9;0;41.7;0;0.0;0;0;0.0;0.0;0.0;331.4;201.5;;24.9;0.0;0.0;;33205.62
Слюдянка;2017;17900.0;1;0;37.42;0;0.0;0;0;0.0;0.0;0.0;420.6;185.3;;25.5;0.0;0.0;;60873.57
Смоленск;2017;0.0;1;27032;41.72;10516;11.0;4673;1646;13.2;98.1;17.0;185.1;217.5;892.0;27.4;31432.0;102.8;;
Соликамск;2017;95000.0;2;0;38.81;0;0.0;0;0;0.0;0.0;0.0;494.9;179.9;;23.9;0.0;0.0;;42320.95
Сосногорск;2017;26100.0;-9;0;38.22;0;0.0;0;0;0.0;0.0;0.0;531.8;208.3;;28.2;0.0;0.0;;33123.2
Сочи;2017;480234.0;1;33543;39.97;0;15.1;7174;3087;11.2;131.2;24.6;516.1;167.6;10927.0;26.3;39003.6;94.9;;36166.79
Ставрополь;2017;433931.0;1;28629;39.0;8997;13.1;6728;2734;8.9;102.3;24.2;356.2;165.7;-1448.0;25.2;33290.1;115.9;;45634.57
Старая Русса;2017;30300.0;-9;0;41.66;0;0.0;0;0;0.0;0.0;0.0;335.3;182.7;;27.7;0.0;0.0;;49068.27
Старый Оскол;2017;0.0;1;29251;41.13;0;11.0;2189;936;10.7;83.3;12.6;294.4;210.1;718.0;28.2;34012.4;64.7;;51615.35
Стерлитамак;2017;280000.0;1;27036;38.57;0;11.5;4480;1551;10.6;76.2;19.7;599.3;206.2;-860.0;23.3;31436.8;55.3;;39933.9
Сургут;2017;354805.0;1;71096;34.65;0;17.6;4881;2397;6.1;119.2;26.8;231.0;193.4;1410.0;20.7;82670.3;115.9;;
Сызрань;2017;174000.0;1;23959;40.73;0;10.6;1945;916;15.6;55.8;9.1;176.6;198.9;-1061.0;25.6;27859.0;42.7;;42730.05
Сыктывкар;2017;0.0;1;37996;38.22;12914;11.9;5446;2681;9.6;81.2;20.3;194.4;273.5;-187.0;28.2;44181.4;77.6;;34933.07
Таганрог;2017;0.0;2;26475;40.76;0;11.2;3940;1419;15.7;92.9;12.1;490.0;175.4;679.0;24.9;30784.5;58.4;;
Тамбов;2017;0.0;1;24881;42.9;9116;9.7;4421;1748;13.0;124.8;17.4;171.1;159.5;4251.0;27.3;28931.7;87.6;;48347.78
Тверь;2017;0.0;1;31043;41.94;10579;11.1;5704;1816;13.6;0.0;23.1;546.7;212.0;;27.7;36097.0;108.6;;47677.42
Тихвин;2017;58100.0;-9;0;41.7;0;0.0;0;0;0.0;0.0;0.0;193.8;172.2;;24.9;0.0;0.0;;39933.9
Тобольск;2017;98500.0;1;44855;37.11;0;15.4;2280;1175;12.7;36.3;8.7;336.3;198.9;;28.4;52157.4;30.9;;49263.8
Тольятти;2017;710567.0;2;28772;40.73;0;10.4;9032;4439;11.4;208.8;40.5;437.6;220.8;-2445.0;25.6;33455.9;160.1;;49068.27
Томск;2017;572740.0;2;37333;38.01;10997;11.3;10001;4051;9.4;129.8;30.6;444.0;251.0;147.0;23.7;43410.8;137.9;;
Туймазы;2017;68200.0;1;0;38.57;0;0.0;0;0;0.0;0.0;0.0;230.9;184.7;;23.3;0.0;0.0;;46833.41
Тула;2017;484627.0;1;33695;42.96;9897;8.8;4703;2044;15.5;188.9;26.1;268.2;192.0;1026.0;25.9;39180.2;173.1;;52976.61
Тулун;2017;41900.0;-9;0;37.42;0;0.0;0;0;0.0;0.0;0.0;557.8;190.9;;25.5;0.0;0.0;;47677.42
Тында;2017;34000.0;1;0;37.9;0;0.0;0;0;0.0;0.0;0.0;248.1;181.9;;25.9;0.0;0.0;;
Тюмень;2017;744554.0;1;46294;37.11;10674;16.4;14589;5078;8.2;172.5;52.7;498.4;187.0;17545.0;28.4;53830.5;200.1;;36968.16
Улан-Удэ;2017;0.0;4;31422;35.5;9967;14.3;11373;3884;9.0;105.0;25.7;278.2;208.0;674.0;21.3;36536.7;95.9;;46833.41
Ульяновск;2017;624518.0;1;27998;41.64;9900;10.9;0;0;11.6;200.1;34.0;458.1;219.8;2437.0;26.3;32555.7;166.1;;49467.63
Усолье-Сибирское;2017;79500.0;4;0;37.42;0;0.0;0;0;0.0;0.0;0.0;512.7;210.3;;25.5;0.0;0.0;;46833.41
Уссурийск;2017;170000.0;3;32729;39.46;0;11.8;4165;1871;11.3;45.4;8.6;402.3;208.7;1214.0;22.8;38057.1;39.3;;66713.12
Усть-Илимск;2017;82200.0;1;0;37.42;0;0.0;0;0;0.0;0.0;0.0;382.4;189.5;;25.5;0.0;0.0;;49068.27
Усть-Нера;2017;5100.0;-9;0;34.11;0;0.0;0;0;0.0;0.0;0.0;159.2;181.5;;21.5;0.0;0.0;;
Уфа;2017;1115560.0;1;36389;38.57;9142;12.8;21300;5974;10.8;301.2;63.7;446.9;166.2;2765.0;23.3;42312.8;307.9;;56571.62
Ухта;2017;97800.0;1;50375;38.22;0;10.2;2242;1210;10.3;38.5;8.2;506.0;197.0;-809.0;28.2;58575.7;36.2;;51615.35
Хабаровск;2017;616242.0;2;45568;38.27;13799;12.1;10678;3983;11.8;172.3;31.0;516.4;316.1;1746.0;23.6;52986.0;194.3;;42730.05
Ханты-Мансийск;2017;98000.0;1;62000;34.65;15427;14.9;1565;773;5.2;24.8;7.9;287.8;312.0;-1162.0;20.7;72093.6;39.0;;39933.9
Цимлянск;2017;14500.0;1;0;40.76;0;0.0;0;0;0.0;0.0;0.0;385.5;185.5;;24.9;0.0;0.0;;39288.38
Чапаевск;2017;72000.0;1;0;40.73;0;0.0;0;0;0.0;0.0;0.0;329.5;203.5;;25.6;0.0;0.0;;56571.62
Чебоксары;2017;0.0;1;26239;39.33;8931;12.6;6028;2467;8.6;130.1;36.6;365.0;167.3;876.0;24.1;30510.3;126.6;;33685.3
Чегдомын;2017;12200.0;4;0;38.27;0;0.0;0;0;0.0;0.0;0.0;218.1;213.0;;23.6;0.0;0.0;;46833.41
