city;year;people;air_general_level;net_salary;Avg_Age;ILM;birth;crimes;criminals;death;pens;preschool_child;length_of_roads;energy_consumption;Migration_Net;Housing_Stock;wage;workers;poverty level;housing price
Волгодонск;2015;170348.0;1;26781;40.54;0;12.1;2371;1110;10.8;50.5;9.1;565.0;209.1;110.0;23.7;31141.1;41.6;;41725.27
Волгореченск;2015;0.0;1;0;40.8;0;0.0;0;0;0.0;0.0;0.0;419.2;191.1;;26.0;0.0;0.0;;
Волжский;2015;326605.0;2;23181;40.56;0;10.4;4471;2208;11.4;91.2;15.3;306.8;176.2;-406.0;23.1;26954.2;64.9;;40991.41
Вологда;2015;313012.0;1;27075;39.76;10917;16.2;9331;3241;11.4;89.5;21.4;306.8;229.2;32.0;25.3;31483.0;91.0;;43611.25
Волосово;2015;12059.0;-9;0;41.47;0;0.0;0;0;0.0;0.0;0.0;437.4;177.2;;23.6;0.0;0.0;;57397.54
Волхов;2015;46160.0;-9;0;41.47;0;0.0;0;0;0.0;0.0;0.0;326.9;196.1;;23.6;0.0;0.0;;57397.54
Воркута;2015;70439.0;1;0;37.89;0;0.0;0;0;0.0;0.0;0.0;534.4;193.9;;26.7;0.0;0.0;;
Воронеж;2015;1023570.0;3;26505;41.82;8867;12.7;20305;3915;12.8;302.7;46.8;518.8;198.4;8857.0;26.8;30819.6;277.1;;44170.83
Воскресенск;2015;92654.0;1;0;40.17;0;0.0;0;0;0.0;0.0;0.0;288.6;193.7;;32.0;0.0;0.0;;81716.3
Выборг;2015;79350.0;1;0;41.47;0;0.0;0;0;0.0;0.0;0.0;318.8;161.2;;23.6;0.0;0.0;;57397.54
Выкса;2015;54135.0;-9;0;41.03;0;0.0;0;0;0.0;0.0;0.0;409.3;184.4;;24.6;0.0;0.0;;60777.17
Губаха;2015;22841.0;1;0;38.7;0;0.0;0;0;0.0;0.0;0.0;243.5;160.4;;23.3;0.0;0.0;;55966.12
Губкин;2015;86852.0;1;0;40.87;0;0.0;0;0;0.0;0.0;0.0;220.1;193.0;;27.0;0.0;0.0;;41790.02
Гусиноозерск;2015;23378.0;2;0;35.31;0;0.0;0;0;0.0;0.0;0.0;356.9;173.2;;20.6;0.0;0.0;;
Дальнегорск;2015;36255.0;1;0;39.21;0;0.0;0;0;0.0;0.0;0.0;308.4;192.8;;22.2;0.0;0.0;;53706.03
Дзержинск;2015;231797.0;3;23506;41.03;0;11.2;2618;1343;15.8;85.2;13.0;157.2;207.0;-166.0;24.6;27332.3;45.0;;60777.17
Дзержинск (Восточная Промзона);2015;0.0;2;23506;41.03;0;0.0;0;0;0.0;0.0;0.0;411.3;203.5;;24.6;0.0;0.0;;60777.17
Дзержинский;2015;47163.0;1;0;40.17;0;0.0;0;0;0.0;0.0;0.0;271.2;183.8;;32.0;0.0;0.0;;81716.3
Димитровград;2015;117447.0;1;20787;41.37;0;13.8;1820;777;15.5;50.9;6.7;264.2;191.9;-507.0;25.2;24171.2;33.6;;37810.42
Досанг;2015;832.0;-9;0;38.32;0;0.0;0;0;0.0;0.0;0.0;428.4;162.4;;21.0;0.0;0.0;;39845.39
Екатеринбург;2015;1428042.0;3;35671;39.41;9241;15.8;0;0;11.2;384.2;77.3;447.5;213.3;9714.0;24.1;41477.7;443.7;;59277.1
Елизово;2015;38735.0;1;0;37.54;0;0.0;0;0;0.0;0.0;0.0;511.5;169.9;;25.6;0.0;0.0;;59200
Жигулевск;2015;54343.0;1;0;40.53;0;0.0;0;0;0.0;0.0;0.0;407.1;161.6;;24.5;0.0;0.0;;41348.85
Заполярный;2015;15576.0;1;0;38.25;0;0.0;0;0;0.0;0.0;0.0;451.2;182.2;;26.2;0.0;0.0;;
Заринск;2015;47046.0;1;0;39.82;0;0.0;0;0;0.0;0.0;0.0;584.3;163.0;;22.1;0.0;0.0;;41303.54
Зея;2015;24990.0;1;0;37.63;0;0.0;0;0;0.0;0.0;0.0;411.9;169.9;;25.1;0.0;0.0;;56995.73
Зима;2015;32376.0;4;0;37.24;0;0.0;0;0;0.0;0.0;0.0;593.0;176.4;;23.8;0.0;0.0;;43474.8
Златоуст;2015;171042.0;3;21106;39.25;0;10.8;3500;1419;13.9;52.7;11.0;213.0;177.5;-376.0;24.6;24541.7;30.9;;43051.45
Иваново;2015;409285.0;2;22607;41.54;10409;11.8;6535;2333;14.3;122.6;21.5;489.5;173.8;-208.0;25.0;26286.7;91.6;;
Ижевск;2015;642024.0;1;26074;38.47;9326;15.2;15019;5518;11.4;181.7;42.3;429.8;215.6;-1001.0;21.5;30319.0;193.5;;45603.52
Иркутск;2015;620099.0;3;35226;37.24;10534;16.3;15937;5699;11.8;168.1;40.8;435.5;234.9;477.0;23.8;40959.9;191.5;;43474.8
Искитим;2015;58757.0;2;0;39.27;0;0.0;0;0;0.0;0.0;0.0;213.2;179.8;;23.9;0.0;0.0;;47803.35
Казань;2015;1205651.0;1;29877;38.97;8083;16.8;22172;6410;11.0;335.4;66.3;538.5;165.6;4280.0;23.7;34741.0;351.7;;48301.49
Калининград;2015;453461.0;2;29362;39.57;10171;13.3;9060;2509;13.4;129.5;24.6;220.4;185.6;6150.0;27.4;34142.0;126.3;;46027.41
Калуга;2015;341892.0;2;30373;41.32;10067;13.5;6538;2278;13.9;112.4;18.1;315.1;201.2;-798.0;24.3;35318.0;119.3;;
Каменск-Уральский;2015;171484.0;3;26256;39.41;0;13.4;0;0;15.7;0.0;10.2;437.0;158.3;-297.0;24.1;30529.8;54.0;;59277.1
Кандалакша;2015;34263.0;1;0;38.25;0;0.0;0;0;0.0;0.0;0.0;357.8;203.5;;26.2;0.0;0.0;;
Канск;2015;92065.0;1;0;38.0;0;0.0;0;0;0.0;0.0;0.0;464.5;209.3;;23.6;0.0;0.0;;55976.87
Кемерово;2015;549159.0;3;29658;39.0;9250;12.6;14428;5158;12.1;151.9;29.2;457.2;164.0;3615.0;23.4;34485.8;151.5;;42520.5
Керчь;2015;147690.0;1;19844;40.78;0;9.4;2116;633;15.7;44.9;4.6;395.8;187.8;2201.0;14.4;23074.6;21.2;;
Кингисепп;2015;47626.0;1;0;41.47;0;0.0;0;0;0.0;0.0;0.0;473.4;207.1;;23.6;0.0;0.0;;57397.54
Кириши;2015;53874.0;1;0;41.47;0;0.0;0;0;0.0;0.0;0.0;282.2;213.6;;23.6;0.0;0.0;;57397.54
Киров;2015;496986.0;1;24876;41.18;9646;14.0;11982;3908;12.2;152.0;28.4;504.5;193.3;2716.0;24.5;28925.7;144.2;;42700.91
Кирово-Чепецк;2015;77570.0;1;0;41.18;0;0.0;0;0;0.0;0.0;0.0;427.7;184.9;;24.5;0.0;0.0;;42700.91
Кировск;2015;26738.0;-9;0;38.25;0;0.0;0;0;0.0;0.0;0.0;204.3;177.5;;26.2;0.0;0.0;;
Кисловодск;2015;129993.0;1;22661;38.73;0;10.3;1304;569;9.4;33.0;3.7;237.2;182.5;-112.0;24.9;26350.5;17.9;;38231.24
Клин;2015;81230.0;1;0;40.17;0;0.0;0;0;0.0;0.0;0.0;487.1;210.7;;32.0;0.0;0.0;;81716.3
Кола;2015;10034.0;-9;0;38.25;0;0.0;0;0;0.0;0.0;0.0;508.1;166.6;;26.2;0.0;0.0;;
Коломна;2015;144633.0;1;32749;40.17;0;12.6;0;0;15.2;59.3;7.1;369.3;165.9;-301.0;32.0;0.0;0.0;;81716.3
Комсомольск-На-Амуре;2015;254933.0;2;33442;38.14;0;0.0;0;0;0.0;0.0;0.0;310.1;200.6;-1503.0;23.2;38886.0;65.0;;59746.7
Комсомольский;2015;2522.0;-9;0;38.32;0;0.0;0;0;0.0;0.0;0.0;201.7;190.3;;21.0;0.0;0.0;;39845.39
Кондопога;2015;31161.0;-9;0;40.22;0;0.0;0;0;0.0;0.0;0.0;461.5;175.7;;27.0;0.0;0.0;;49249.92
Корсаков;2015;33605.0;3;0;38.42;0;0.0;0;0;0.0;0.0;0.0;192.4;160.6;;24.9;0.0;0.0;;67802.1
Коряжма;2015;37549.0;1;0;39.8;0;0.0;0;0;0.0;0.0;0.0;195.5;212.6;;24.5;0.0;0.0;;60126.56
Кострома;2015;276090.0;1;23108;40.8;9852;14.4;4316;1827;13.8;94.1;16.6;196.5;195.5;450.0;26.0;0.0;0.0;;
